carat,depth,table,price
0.84,61.2,57,2847
0.72,60.3,57,2847
0.76,61.1,59,2847
0.7,62.9,59,2848
0.54,61.5,55,2848
0.75,64.6,57,2848
0.79,64.1,54,2849
0.74,63.1,58,2849
0.7,61,60,2850
0.7,60.8,59,2850
0.75,61.5,56,2850
1.2,63.1,60,2850
0.8,63.4,57,2851
0.66,62.1,56,2851
0.87,61,63,2851
0.86,62.7,59,2851
0.74,61,57,2851
0.58,60.6,59,2852
0.78,61.5,57,2852
0.74,61.3,55,2852
0.73,62.7,55,2852
0.91,63.5,57,2852
0.71,62.6,58,2853
0.71,63.5,55,2853
0.79,62.8,57,2853
0.79,60,60,2853
0.71,62.7,58,2853
0.82,61.9,58,2853
0.78,61.9,57.1,2854
0.7,62.4,56,2854
1.12,59.1,61,2854
0.73,62,57,2854
0.91,64.4,62,2854
0.91,65.4,60,2854
0.91,64.2,58,2854
0.91,65.8,58,2854
0.7,58.4,59,2854
0.68,61.7,57,2854
0.73,62.5,57,2855
1.03,63.6,57,2855
0.74,62.4,57,2855
0.98,53.3,67,2855
1.02,53,63,2856
1,67.8,61,2856
1.02,61.6,55,2856
0.6,60.8,57,2856
0.8,61.6,56,2856
0.97,60.7,56,2856
1,67.9,62,2856
0.26,62.3,57,556
0.26,62.1,56,556
0.36,61.9,55,556
0.34,57.5,61,556
0.34,63.3,57,556
0.34,63.5,55,556
0.34,63.4,55,556
0.34,59.6,62,556
0.34,62.2,54,556
0.32,64.1,54,556
0.31,61.6,55,557
0.31,61.3,56,557
0.31,62.3,54,557
0.31,62,54,557
0.31,62.7,53,557
0.31,62.2,53,557
0.31,62.2,53.6,557
0.31,61.6,54.8,557
0.31,61.8,54.2,557
0.33,59.4,59,557
0.33,62.3,58,557
0.33,62.6,58,557
0.33,61.9,56,557
0.33,63,58,557
0.33,62.8,58,557
0.33,61.5,61,557
0.33,62.1,55,557
0.33,63,57,557
0.33,63.6,53,557
0.33,60.4,59,557
1,66.1,56,2856
0.77,60.8,59,2856
0.77,61,58,2856
0.7,60.1,63,2857
0.9,63.1,58,2857
0.72,62.3,57,2857
0.9,61.9,59,2857
0.72,62.1,58,2857
0.7,62.1,56,2858
0.81,61.3,57,2858
0.81,61.7,57,2858
0.71,61,60,2858
0.7,61.4,59,2858
0.71,61.5,60,2858
0.71,63.5,59,2858
0.92,62.9,58,2858
0.76,62.7,54,2858
0.73,61.5,56,2858
0.71,60.4,62,2858
0.7,63.6,62,2858
0.9,64.5,56,2858
0.71,56.9,65,2858
0.7,61,57,2859
0.7,62.4,56,2859
0.77,60.9,60,2859
0.71,61.5,56,2859
0.7,59.6,61,2859
0.75,55.8,70,2859
0.83,59.2,60,2859
0.71,61.3,61,2860
0.9,63.6,58,2860
0.6,61.9,54.9,2860
0.71,62.9,57,2860
0.53,61.4,57,2860
0.71,60.7,58,2861
0.62,61.6,56,2861
0.62,61.6,56,2861
0.9,63,58,2861
0.62,60.1,61,2861
0.82,61.7,59,2861
0.66,61,58,2861
0.7,62.5,55,2862
0.8,62.6,58,2862
0.8,62.5,59,2862
0.79,62.3,54,2862
0.71,63.2,60,2862
0.7,61.1,57,2862
0.7,58.7,63,2862
0.79,60,60,2862
0.7,59.5,59,2862
1.22,60.9,57,2862
1.01,67.6,57,2862
0.73,62.5,61,2862
0.91,64.3,58,2863
0.71,60.8,56,2863
0.83,62.3,58,2863
0.84,62.3,59,2863
0.71,61,61,2863
0.71,59.7,59,2863
0.71,61.7,56,2863
0.71,61.7,57,2863
0.71,61.4,58,2863
0.71,60.6,58,2863
0.91,59.5,62,2863
0.9,59.8,62,2863
0.71,61.5,62,2863
0.71,59.1,61,2863
0.72,59.5,57,2863
0.72,60.9,60,2863
0.71,61,55,2863
0.81,60.3,57,2864
0.83,61.6,58,2865
0.73,60.8,55,2865
0.56,62,56,2866
0.56,61.8,55,2866
0.71,62.2,55,2866
0.7,62.3,58,2866
0.96,61.3,58,2866
0.71,62.9,57,2867
0.7,62.4,57,2867
0.71,60.4,57,2867
0.8,61.2,53,2867
0.95,58.4,57,2867
0.82,62.3,56,2867
0.52,61.2,56,2867
0.82,61.7,53,2867
0.82,62.3,56,2867
0.82,59.7,57,2867
0.8,61.3,57,2867
0.96,68.2,61,2867
0.72,62.4,55,2868
0.62,60.5,57,2868
0.79,61,58,2868
0.75,63.1,56,2868
1.08,61.9,60,2869
0.72,60.8,55,2869
0.62,61.8,56,2869
0.73,61.3,57,2869
0.72,60.9,57,2869
0.52,61.8,60,2870
0.83,62.2,57,2870
0.64,62.1,58,2870
0.8,62.5,57,2870
0.74,62.1,56,2870
0.72,61.5,56,2870
0.82,59.5,57,2870
0.73,61.3,59,2870
1.04,61.6,61,2870
0.73,61.3,58,2871
0.73,63.6,57,2871
0.9,62.8,59,2871
0.75,61.8,55,2871
0.79,62.6,55,2871
0.7,62.5,56.7,2872
0.75,60.7,55,2872
1.02,61.7,56,2872
0.7,59,62,2872
0.7,61.8,56,2872
0.7,61.4,64,2872
0.7,61.4,54,2872
0.7,60.7,56,2872
0.7,60.2,60,2872
0.72,58.3,57,2872
0.74,62.3,58,2872
0.84,65.1,55,2872
0.76,62,58,2873
0.77,63.2,58,2873
0.76,62.8,56,2873
1,61.7,56,2873
1,65.5,62,2873
0.9,65.7,58,2873
0.9,61.8,58,2873
0.9,64,61,2873
0.9,65.3,61,2873
0.9,65.8,56,2873
0.9,60.9,61,2873
0.78,62.6,58,2874
0.71,61.2,59,2874
0.7,59,59,2874
0.7,60.8,62,2874
0.7,61.8,58,2874
0.7,61,55,2874
0.7,61.6,55,2874
0.7,62.4,56,2874
0.7,62.9,59,2874
1,67.7,60,2875
0.77,62.4,56,2875
1,65.5,55,2875
1,66.3,61,2875
1,69.5,55,2875
0.73,62.6,60,2876
0.79,60.6,53,2876
0.72,62.2,54,2877
0.71,62.4,56,2877
0.74,62.3,55,2877
0.7,62.7,56,2877
0.7,59.1,62,2877
0.79,62.8,59,2878
0.79,62.7,60,2878
0.79,59.7,58,2878
0.71,61.5,55,2878
0.79,62.8,56,2878
0.73,61.4,56,2879
0.63,60.3,62,2879
0.7,60.4,60,2879
0.71,62.7,58,2879
0.84,61,56,2879
0.84,62.3,55,2879
1.02,60.3,54,2879
0.72,56.9,69,2879
0.72,62,56,2879
0.92,58.7,61,2880
0.74,63.9,57,2880
0.7,62,55,2881
0.71,60,59,2881
1.05,62,59,2881
0.7,62.8,56,2882
0.54,61.8,56,2882
0.73,59.9,58,2882
0.88,56.6,65,2882
0.73,58.7,57,2882
0.72,61.8,56,2883
0.9,62.7,64,2883
0.9,65,61,2883
1.03,65.3,55,2884
0.84,63.8,57,2885
1.01,62.7,60,2885
0.77,61.5,55,2885
0.8,56.3,63,2885
0.9,66.9,57,2885
0.73,61.4,56,2886
0.72,62.7,55,2886
0.71,62.4,54,2887
0.7,62.6,59,2887
0.79,61.7,59,2888
0.72,62.5,58,2889
0.7,63.5,54,2889
0.7,62.2,58,2889
0.9,63.5,58,2889
0.71,62.8,56,2889
0.5,62.2,54,2889
0.5,62.2,54,2889
0.74,61.2,56,2889
0.77,61.8,56,2889
0.77,59.8,61,2889
0.8,61.5,54,2890
0.8,62.4,57,2890
0.8,61.5,60,2890
0.8,63.8,59,2890
0.66,61.5,56,2890
0.71,61.2,58,2891
0.71,61.2,56,2891
0.71,61.6,56,2891
0.71,62.7,56,2891
0.72,61.1,56,2891
0.71,62.3,61,2891
0.86,61.8,55,2892
1.19,65.1,59,2892
0.71,62.6,55,2893
0.82,62.5,56,2893
0.71,61.5,57,2893
0.75,62.5,57,2893
0.7,59.2,60,2893
0.8,62.5,55,2893
0.82,59.9,62,2893
0.82,63.4,55,2893
0.82,59.9,59,2893
0.81,62.4,57,2894
0.81,62.2,57,2894
0.76,61.4,56,2894
0.71,60.9,56,2895
0.7,61.8,59,2895
0.7,62.1,53,2895
0.74,59.8,58,2896
0.77,61.3,60,2896
0.77,58.3,63,2896
0.53,61.6,56,2896
0.79,61.5,56,2896
0.73,61.5,55,2896
0.77,62.1,56,2896
0.77,60.9,58,2896
1.01,63.1,57,2896
1.01,61.5,57,2896
0.6,60.6,57,2897
0.76,61.1,58,2897
0.54,61.4,52,2897
0.72,62.5,55,2897
0.72,59.4,61,2897
0.74,61.8,58,2897
1.12,60.6,59,2898
0.75,62.3,55,2898
0.77,62.6,57,2898
0.98,57.9,56,2898
0.79,61.1,57,2898
0.79,62.3,57,2898
0.79,62.3,57,2898
0.79,62.3,57,2898
0.79,62.3,57,2898
0.79,62.3,57,2898
0.7,59.9,61,2899
0.7,61.9,58,2900
0.72,62.7,58,2900
0.8,62.7,58,2901
0.81,63,56,2901
0.81,62.5,59,2901
0.74,61.9,57,2901
0.73,62,60,2902
0.73,61.4,55,2902
0.75,61.6,55,2902
0.71,64.6,59,2902
0.71,59.6,60,2902
0.75,62.8,60,2903
0.75,62.3,57,2903
0.72,61.9,55,2903
0.72,61.4,59,2903
0.72,61.1,59,2903
0.79,63,54,2904
0.79,62.8,57,2904
0.7,58.4,59,2904
0.62,62,56,2904
0.7,59.3,62,2905
0.7,63.4,59,2905
0.7,63.3,59,2905
0.71,62.1,58,2905
0.86,61.2,58,2905
0.53,62.5,54,2905
0.91,63.5,58,2905
0.95,63.8,57,2905
0.91,62.8,59,2905
0.74,62.4,57,2906
0.8,62.2,58,2906
0.74,62.8,61,2906
0.61,62.4,53.9,2907
0.61,62.4,53.6,2907
0.61,62.1,54.2,2907
0.72,62.8,57,2907
0.7,62.3,53,2907
0.71,61.9,56,2907
0.79,60.3,60,2907
0.72,62.6,56,2907
0.33,62.9,55,557
0.39,61.5,57,558
0.32,61.3,55,558
0.25,61.2,59,558
0.25,63.6,57,558
0.25,60.7,59,558
0.25,61.5,60,558
0.31,60.8,58,558
0.31,59.8,60,558
0.31,63.2,55,558
0.31,62.3,57,558
0.31,58.7,60,558
0.31,62.7,58,558
0.31,61.7,56,558
0.31,60.1,57,558
0.31,61.3,55,558
0.31,60.8,60,558
0.31,59.9,57,558
0.31,59.9,60,558
0.31,61.1,58,558
0.31,60.7,61,558
0.31,63.1,54,558
0.31,62.3,60,558
0.31,61.7,59,558
0.31,61,61,558
0.31,63.6,57,558
0.31,62.4,57,558
0.31,62.8,58,558
0.31,62.9,56,558
0.31,60.9,60,558
0.82,63.6,56,2908
0.73,61.5,55,2908
0.7,61,60,2909
0.7,60.9,57,2909
0.71,61.2,56,2909
0.71,61.9,56,2909
0.9,61.9,57,2909
0.71,62.9,57,2910
1.05,58.3,57,2911
0.59,61.1,57,2911
0.71,60.6,56,2911
0.77,60.3,61,2911
0.73,64.2,54,2912
0.7,58.7,63,2912
0.73,63.2,56,2912
0.8,61.2,60,2912
1,65.2,54,2912
1,66,56,2912
1,67,55,2912
0.7,60.7,60,2913
0.71,61.4,58,2913
0.71,60.8,59,2913
0.71,60.6,58,2913
0.71,61.7,56,2913
0.71,61.7,57,2913
